"filename", "language", "YAML", "Markdown", "Groovy", "Properties", "Dart", "XML", "C++", "JSON", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/bharaths/StudioProjects/SmartStock Pro/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/bharaths/StudioProjects/SmartStock Pro/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/build.gradle", "Groovy", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 190
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/bharaths/StudioProjects/SmartStock Pro/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/bharaths/StudioProjects/SmartStock Pro/android/build.gradle", "Groovy", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/bharaths/StudioProjects/SmartStock Pro/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/bharaths/StudioProjects/SmartStock Pro/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/android/settings.gradle", "Groovy", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/bharaths/StudioProjects/SmartStock Pro/assets/images/bg_image.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/bharaths/StudioProjects/SmartStock Pro/assets/images/logo_icon.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner.xcodeproj/project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 636, 31, 16, 683
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/bharaths/StudioProjects/SmartStock Pro/ios/firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/core/appdata.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/core/dependency.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/model/product.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/add_product/add_product.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/add_product/add_product_controller.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 8, 86
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/dashboard.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/home_page.dart", "Dart", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 8, 128
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/admin_home_page/home_page_controller.dart", "Dart", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 14, 111
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/all_product_controller.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/all_products.dart", "Dart", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/all_product_screen/product_detail_screen.dart", "Dart", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 7, 149
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_detail_screen.dart", "Dart", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 6, 135
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_screen.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/orders_screen/order_screen_controller.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 13, 93
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/profile_screen/profile_screen.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 6, 87
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/update_product/update_product.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 5, 89
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/adminui/src/view/screens/update_product/update_product_controller.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 8, 89
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/forgot_password/forgot_password_screen.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/login/bg_image.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/login/login_card.dart", "Dart", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 6, 112
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/login/login_controller.dart", "Dart", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 3, 8, 113
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/login/login_screen.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/register/register_card.dart", "Dart", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 7, 81
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/register/register_controller.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/register/register_screen.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/auth/verify_email/verify_email_view.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 6, 74
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/controller/firebase_auth.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/controller/firebase_functions.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 5, 20, 135
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/controller/product_controller.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 5, 37, 209
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/app_color.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/app_data.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/app_theme.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/binding.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/dependency.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/core/extensions.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/model/cart_model.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/model/product.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/model/product_category.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 14, 5, 26
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/animation/animated_switcher_wrapper.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/animation/open_container_wrapper.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/cart_screen/cart_screen.dart", "Dart", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 10, 195
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/favorite_screen/favorite_screen.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/home_screen/home_controller.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/home_screen/home_screen.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 6, 63
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/home_screen/product_list_screen.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 7, 89
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/payment_screen/env.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/payment_screen/payment_screen.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/product_detail/product_detail_screen.dart", "Dart", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 7, 126
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/profile_screen/order_controller.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/profile_screen/orders.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 4, 83
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/customerui/view/screen/profile_screen/profile_screen.dart", "Dart", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 1, 7, 91
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/firebase_options.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 12, 5, 77
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/main.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/alertbox.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/customappbar.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/empty_cart.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/gridcard.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/inputfield.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/list_item_selector.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 10, 76
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/product_grid_view.dart", "Dart", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 1, 8, 129
"/Users/bharaths/StudioProjects/SmartStock Pro/lib/widgets/text.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/Users/bharaths/StudioProjects/SmartStock Pro/pubspec.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"/Users/bharaths/StudioProjects/SmartStock Pro/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/bharaths/StudioProjects/SmartStock Pro/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"/Users/bharaths/StudioProjects/SmartStock Pro/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 5, 27
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 16, 72
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"/Users/bharaths/StudioProjects/SmartStock Pro/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 43, 13, 102, 8, 3626, 131, 452, 377, 38, 19, 636, 291, 633, 6369